"","window(gdp_hp$cycle, start = c(1987, 1))","window(cpi_ts_q, start = c(1987, 1))","window(interest_ts_q, start = c(1987, 1))","window(tot_ts, start = c(1987, 1))","window(cambio_ts_q, start = c(1987, 4))"
"62",-0.0075942701442073,697.2027992,2.75,83.2,1.5318
"63",-0.00606145671044305,706.8182147,3,82.9,1.5761
"64",-0.00172158362397607,712.867517,3,84,1.5592
"65",0.00393289213277769,729.5501572,3.25,86.9,1.4761
"66",-0.0197243570236607,727.5093638,3.5,86.1,1.3525
"67",-0.0169485687108119,732.4272792,3,87.8,1.3634
"68",-0.0191226900662321,734.483062,3,88.7,1.3128
"69",-0.0146300056367719,740.6690828,2.5,90.5,1.3286
"70",-0.0039049293788325,754.3817728,2.25,90.7,1.3578
"71",-1.2451489157881e-06,756.8977405,2.5,91.7,1.2881
"72",-0.00189323787084788,762.7730447,2.75,92.2,1.2189
"73",-0.00543623311935453,767.4042,2.75,92.5,1.216
"74",-0.00451838500086371,779.7094112,2.75,92.3,1.2402
"75",0.00916030050840764,791.6868576,3,95.2,1.1777
"76",0.0191303813539253,792.5558552,3.5,97.9,1.1615
"77",0.0115995058032906,799.4566889,4,95.6,1.1573
"78",0.00993296227391827,815.1173672,4.5,95.6,1.1137
"79",0.00826477827310301,822.57452,4.5,95.5,1.1161
"80",0.00405593261949876,819.060578,4.5,95.3,1.1532
"81",0.01503139381007,833.158709,4.5,96.8,1.1682
"82",0.0240209337285392,854.6103476,4.5,97.8,1.0651
"83",0.0182661469676847,855.061272,4.75,97.5,1.0267
"84",0.0233695347877158,854.1602708,4.5,101.2,1.0021
"85",0.0351623382725374,867.7179995,3.75,105.2,1.0029
"86",0.0513451444899629,899.375216,3.25,107.4,1.0166
"87",0.0537515485307856,916.190813,3.25,104.5,1.0582
"88",0.000630037869147042,891.98162,1.75,93.6,1.2337
"89",-0.0455815002424333,886.9138517,0.75,89.9,1.2645
"90",-0.0586006432946886,900.315008,0.5,91.5,1.1264
"91",-0.0536331930994843,902.1812416,0.5,94.1,1.0816
"92",-0.0337874440118559,904.5051935,0.5,97.6,1.0537
"93",-0.0218159332238971,912.4406,0.5,99.4,1.0229
"94",-0.024343608081016,922.7728628,0.75,97.8,1.0376
"95",-0.0253564714902173,920.419064,1.25,96.7,1.033
"96",-0.0123814668955591,929.85728,1.25,99.1,1.0081
"97",0.000118915828187802,940.767098,1.25,101.6,0.9766
"98",0.00386346682884906,964.3113845,1.25,102.3,0.9766
"99",0.00962869169347011,967.704659,1.25,100.9,1.0025
"100",0.0157437060838851,972.5596256,1.25,101.3,1.0235
"101",0.00822620355435109,977.9160104,1.25,100.8,0.9938
"102",0.00154070959003524,989.1815046,1.25,98.5,1.028
"103",-0.000825281534382809,986.236886,1.25,99.4,0.9783
"104",-0.00218745434661112,986.2324536,1.25,101.3,0.9898
"105",0.00686319063025725,994.087904,1.25,101.4,1.0244
"106",0.00359777937818384,1004.48644,1.25,101,1.0314
"107",0.00889465767952933,1008.4591871,1.25,100.7,1.0342
"108",0.0115101352931643,1004.48644,1.25,99.5,1.0639
"109",0.0190950921126752,1019.918699,1.25,101.5,1.1107
"110",0.023910480668529,1043.6221225,1.25,100,1.083
"111",0.0289447452262865,1044.1324286,1.25,99.4,1.1011
"112",0.0215029211430466,1037.53475,1.25,96.2,1.1532
"113",-0.000749801377103362,1038.027725,1,93.4,1.2618
"114",-0.00782369825345955,1059.939116,1,93.6,1.2365
"115",-0.00722713337717911,1067.1334387,0.75,91.6,1.3266
"116",-0.0192995997685154,1063.0183803,0.75,90.5,1.3713
"117",-0.0235069333768022,1067.64102,0.75,88.8,1.3226
"118",-0.0293744951095506,1090.4374732,0.75,91,1.2894
"119",-0.0207948939856317,1090.9625648,0.75,91.9,1.3108
"120",-0.0138784762175478,1088.3540114,0.75,93.3,1.3339
"121",-0.00218593178910361,1104.047192,0.75,94.7,1.3387
"122",0.000396873846512068,1115.1136899,0.75,93,1.3295
"123",-0.00200265960357555,1116.6993102,1.25,93.6,1.2279
"124",0.00705440263322479,1123.5875848,1.25,95.4,1.2769
"125",0.00768806392422944,1144.4083298,1.5,95.7,1.2933
"126",0.00686547320808199,1160.5950058,1.5,95.4,1.3125
"127",0.00912601623242774,1170.91248,1.75,95.4,1.3034
"128",-0.00614732968624662,1164.9309056,2,91.8,1.3436
"129",-0.00132336045291475,1179.629476,2,94.1,1.3371
"130",0.00935762836571231,1205.531459,2,94.9,1.3289
"131",0.00467482802617542,1212.750472,2,94.1,1.3241
